Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
AGE 10 - TAG A,F,Chamber1,9222,CAA,POST3,0,0,0,0,304.28,0,1370
AGE 10 - TAG A,F,Chamber1,9222,CAA,SHK4,0,0,0,0,416.17,32,746
AGE 10 - TAG A,F,Chamber1,9222,CAA,POST4,0,0,0,0,248.15,0,1348
AGE 10 - TAG A,F,Chamber2,8358,CAA,PRE,0,0,0,0,230.99,0,1254
AGE 10 - TAG A,F,Chamber2,8358,CAA,SHK1,0,0,0,0,93.23,7,342
AGE 10 - TAG A,F,Chamber2,8358,CAA,POST1,0,0,0,0,304.04,0,1504
AGE 10 - TAG A,F,Chamber2,8358,CAA,SHK2,0,0,0,0,234.85,3,448
AGE 10 - TAG A,F,Chamber2,8358,CAA,POST2,0,0,0,0,211.43,0,1094
AGE 10 - TAG A,F,Chamber2,8358,CAA,SHK3,0,0,0,0,98.58,0,391
AGE 10 - TAG A,F,Chamber2,8358,CAA,POST3,1,1.033,0.23,1.32,332.31,0,1552
AGE 10 - TAG A,F,Chamber2,8358,CAA,SHK4,0,0,0,0,40.55,0,133
AGE 10 - TAG A,F,Chamber2,8358,CAA,POST4,0,0,0,0,301.09,0,1589
AGE 10 - TAG A,F,Chamber3,9265,CAA,PRE,0,0,0,0,168.96,0,813
AGE 10 - TAG A,F,Chamber3,9265,CAA,SHK1,0,0,0,0,44.47,1,210
AGE 10 - TAG A,F,Chamber3,9265,CAA,POST1,5,9.233,2.05,11.84,120.83,0,1208
AGE 10 - TAG A,F,Chamber3,9265,CAA,SHK2,0,0,0,0,139.95,0,370
AGE 10 - TAG A,F,Chamber3,9265,CAA,POST2,2,2.4,0.53,3.08,139.69,0,831
AGE 10 - TAG A,F,Chamber3,9265,CAA,SHK3,0,0,0,0,117,1,355
AGE 10 - TAG A,F,Chamber3,9265,CAA,POST3,2,2.167,0.48,2.78,162.88,0,1030
AGE 10 - TAG A,F,Chamber3,9265,CAA,SHK4,0,0,0,0,138.18,0,359
AGE 10 - TAG A,F,Chamber3,9265,CAA,POST4,3,4.133,0.92,7.13,111.55,0,807
AGE 10 - TAG A,F,Chamber4,9214,CAA,PRE,2,3.033,0.67,2.02,230.69,0,1309
AGE 10 - TAG A,F,Chamber4,9214,CAA,SHK1,0,0,0,0,234.45,24,644
AGE 10 - TAG A,F,Chamber4,9214,CAA,POST1,1,3.133,0.7,4.02,225.98,0,1041
AGE 10 - TAG A,F,Chamber4,9214,CAA,SHK2,1,1.233,0.27,61.67,20.82,0,217
AGE 10 - TAG A,F,Chamber4,9214,CAA,POST2,1,1.767,0.39,2.26,180.63,0,1077
AGE 10 - TAG A,F,Chamber4,9214,CAA,SHK3,0,0,0,0,163.72,17,523
AGE 10 - TAG A,F,Chamber4,9214,CAA,POST3,1,1.7,0.38,2.18,236.51,0,1146
AGE 10 - TAG A,F,Chamber4,9214,CAA,SHK4,0,0,0,0,388.68,34,821
