"","ID","EXPT","VALENCE","CONTEXT","SubROI_SubroiAGGR","GROUP","System","Ch1TotalperMM2","Ch2TotalperMM2","Ch3TotalperMM2","Ch4TotalperMM2","OLTotalperMM2","NormOLTotalperMM2"
"91",3422,"OLD","SHOCK","AA","PH","SAA","HYPOTHAL",147.004950520589,1701.33030699997,1305.87496830661,530.870047780578,216.453923790223,0.107381524016332
"92",3422,"OLD","SHOCK","AA","PIR","SAA","OLFACTORY",103.414577564791,1661.96641493217,1095.18778817971,479.748014191321,169.609441734457,0.0860042659082827
"93",3422,"OLD","SHOCK","AA","PrL","SAA","PFC",38.1288151822912,2579.21366910736,859.905121347989,354.69832018263,150.006786046119,0.0538835826275002
"94",3422,"OLD","SHOCK","AA","PTLp","SAA","POST ASSOC CTX",41.8144248447209,1598.88011327409,797.812549083208,820.263807133567,163.919222345373,0.072684208578513
"95",3422,"OLD","SHOCK","AA","RSCla","SAA","POST ASSOC CTX",921.693438741223,127.305723583042,768.926570441573,789.29548621486,40.7378315465734,0.0465116279069767
"96",3422,"OLD","SHOCK","AA","RSPd","SAA","POST ASSOC CTX",33.6037152106239,2050.08915687314,839.305293190349,644.508756578763,237.851296725197,0.0968155588801025
"97",3422,"OLD","SHOCK","AA","RSPv","SAA","POST ASSOC CTX",182.940120801856,1506.12346030022,1187.40212904019,832.457286936468,172.916004593536,0.0798443088575637
"98",3422,"OLD","SHOCK","AA","RT","SAA","THALAMIC",96.354408370887,2087.67884803588,1709.5792708843,1263.38111397693,405.542288396455,0.13768115942029
"99",3422,"OLD","SHOCK","AA","sAMY","SAA","CORTICO-AMY",106.066991232544,1642.00035616017,1508.66934753992,746.816688908902,227.894577234057,0.105461709351553
"100",3422,"OLD","SHOCK","AA","SH","SAA","STRIATUM",479.733550456944,1130.21972056805,495.995704709722,365.8984706875,113.835079769444,0.0823529411764706
"101",3422,"OLD","SHOCK","AA","SP","SAA","THALAMIC",17.8972230062664,2419.10797634701,1530.21256703578,817.306517286167,316.184273110707,0.108273748723187
"102",3422,"OLD","SHOCK","AA","SSp","SAA","SOMAT CTX",76.3427128284984,1149.78448281945,785.103610185222,554.571222137129,123.20377225137,0.0779202616162126
"103",3422,"OLD","SHOCK","AA","SSs","SAA","SOMAT CTX",103.849996621748,1290.26939746354,927.381661358146,487.57241488827,119.135572259566,0.0718243950495663
