idBysubroi,grp,SUBROI,AREAmm2,Ch1mm2,Ch2mm2,Ch3mm2,Ch4mm2,OLmm2
3608,CAB,AuV,10.7460727,1055.54842,1696.28479,1058.71236,812.855102,262.886739
3661,CAA,AuV,20.9383034,723.506568,369.730527,876.049968,1171.3461,281.25488
3662,CAB,AuV,9.89544929,1076.15124,938.78009,1000.96516,1467.13904,200.698315
3663,CAB,AuV,6.17946987,435.797902,746.202608,730.645201,1154.95344,243.5484
3664,CAB,AuV,14.5847341,493.392607,1247.67589,594.388621,1073.31405,243.81658
3858,CAB,AuV,4.69022124,643.253239,1242.8217,740.263588,940.040945,192.528232
8056,SAA,AuV,4.7209963,510.485467,1047.23731,605.168871,1509.00351,164.372084
8060,SAA,AuV,3.45655401,560.67401,1102.13413,985.374447,635.314822,106.464415
8061,SAA,AuV,0.937620792,612.187789,1475.32171,314.626129,957.743266,99.1872202
8350,SAB,AuV,4.07090517,740.375881,1631.60277,365.520674,1655.65144,125.033618
8351,SAB,AuV,6.91570042,822.331746,2440.27755,664.28557,436.832109,49.018896
8352,SAB,AuV,6.35304184,1189.82374,3040.8585,1217.527,771.44148,43.9159708
8358,CAA,AuV,1.29305856,170.9126,228.499247,894.777729,1194.84148,8.50696198
8364,CAB,AuV,0.778991213,115.534038,528.556376,575.102764,1115.54532,160.463941
8365,CAB,AuV,6.41306206,599.25223,935.502738,740.263588,861.197977,154.340571
8487,CAB,AuV,1.9903863,788.289189,187.833016,616.463247,909.873627,78.3767454
8488,CAB,AuV,1.15499745,158.441908,209.158635,72.727433,116.017572,17.3160555
8489,CAB,AuV,1.89120495,1390.6478,680.753813,749.786533,1051.18168,107.867738
8492,CAB,AuV,4.39451923,397.768199,702.264837,489.928451,588.460276,54.1583704
8753,SAB,AuV,1.09226645,532.83702,682.056804,882.568535,401.001056,79.6508947
9204,CAB,AuV,1.27888957,586.446254,679.473531,483.231713,674.022228,22.6759218
9214,CAA,AuV,0.429320984,309.79152,1074.68572,600.948963,1139.00792,9.31703818
9221,CAA,AuV,5.77366032,102.015007,1219.02456,253.565315,307.950226,30.1368612
9222,CAA,AuV,3.66620116,370.1379,893.33547,504.063994,570.617898,25.0940949
9224,CAA,AuV,6.41306206,709.801333,1074.68572,563.693282,644.933725,47.2473207
9228,SAA,AuV,6.15908283,272.930247,806.537564,613.240657,388.531875,20.6199533
9229,SAA,AuV,13.3373654,319.028525,941.108874,773.54108,436.218087,28.6413388
9265,CAA,AuV,2.60024612,217.287123,1039.4975,432.651352,537.641413,95.3755869
